name,age,city,math_marks,chemistry_marks,hindi_marks,english_marks,physics_marks
Shakha,,,,,62.0,69.0,47.0
,21.0,None,43.0,81.0,97.0,54.0,87.0
Gabbar,23.0,Nusantara,76.0,91.0,54.0,41.0,65.0
Sambha,20.0,Hanoi,58.0,87.0,89.0,,82.0
Modi,18.0,Bangkok,63.0,90.0,99.0,55.0,99.0
Sambha,,Melbourne,30.0,,49.0,,74.0
Surpankha,22.0,Bangkok,96.0,59.0,75.0,43.0,62.0
Katappa,23.0,Nusantara,,70.0,63.0,41.0,35.0
Surpankha,22.0,Sydney,53.0,33.0,80.0,96.0,51.0
Hidimba,23.0,,,67.0,47.0,43.0,45.0
,,Melbourne,43.0,74.0,95.0,71.0,79.0
Surpankha,20.0,Nusantara,60.0,46.0,34.0,44.0,87.0
Surpankha,22.0,Melbourne,66.0,55.0,71.0,47.0,72.0
Shakha,20.0,Hanoi,34.0,38.0,66.0,73.0,90.0
,22.0,None,50.0,65.0,30.0,36.0,96.0
Sambha,21.0,Melbourne,66.0,92.0,62.0,,79.0
,23.0,Canberra,63.0,97.0,34.0,70.0,81.0
Thanos,23.0,Sydney,99.0,49.0,30.0,73.0,87.0
Gabbar,23.0,Sydney,90.0,76.0,76.0,59.0,56.0
Modi,20.0,Canberra,73.0,30.0,52.0,33.0,54.0
Katappa,18.0,Seoul,51.0,30.0,32.0,73.0,84.0
Sambha,18.0,None,73.0,81.0,86.0,63.0,93.0
Putna,18.0,Canberra,,45.0,36.0,52.0,62.0
,22.0,Hanoi,97.0,89.0,77.0,55.0,53.0
Thanos,20.0,None,65.0,32.0,89.0,69.0,88.0
